year_end,tract_2010,parcels
1995,55079009900,370
1995,55079010600,270
1995,55079010700,410
1995,55079010800,236
1995,55079011000,318
1995,55079011100,117
1995,55079011200,298
1995,55079011300,119
1995,55079011400,91
1995,55079012200,456
1995,55079012300,172
1995,55079012400,632
1995,55079012500,559
1995,55079012600,699
1995,55079012700,426
1995,55079012800,627
1995,55079012900,911
1995,55079013000,493
1995,55079013300,294
1995,55079013400,348
1995,55079013500,53
1995,55079013600,169
1995,55079013700,121
1995,55079014300,227
1995,55079014400,21
1995,55079014600,75
1995,55079014700,71
1995,55079014800,84
1995,55079014900,111
1995,55079015700,483
1995,55079015800,408
1995,55079015900,496
1995,55079016000,497
1995,55079016100,619
1995,55079016200,542
1995,55079016300,789
1995,55079016400,682
1995,55079016500,426
1995,55079016600,319
1995,55079016700,451
1995,55079016800,492
1995,55079016900,636
1995,55079017000,962
1995,55079017100,483
1995,55079017200,469
1995,55079017300,672
1995,55079017400,418
1995,55079017500,614
1995,55079017600,438
1995,55079017900,681
1995,55079018000,655
1995,55079018100,706
1995,55079018200,534
1995,55079018300,632
1995,55079018400,442
1995,55079018500,604
1995,55079018600,464
1995,55079018700,542
1995,55079018800,345
1995,55079018900,368
1995,55079019000,1352
1995,55079019100,612
1995,55079019200,1146
1995,55079019300,969
1995,55079019400,800
1995,55079019500,1016
1995,55079019600,999
1995,55079019700,1330
1995,55079019800,1596
1995,55079019900,994
1995,55079020000,622
1995,55079020100,710
1995,55079020200,955
1995,55079020300,1123
1995,55079020400,626
1995,55079020500,639
1995,55079020600,1246
1995,55079020700,1402
1995,55079020800,1041
1995,55079020900,826
1995,55079021000,779
1995,55079021100,523
1995,55079021200,467
1995,55079021300,312
1995,55079021400,412
1995,55079021500,887
1995,55079021600,1234
1995,55079021700,1871
1995,55079021800,468
1995,55079060200,19
1995,55079080400,2
1995,55079090200,12
1995,55079091000,22
1995,55079091300,9
1995,55079091400,7
1995,55079101600,10
1995,55079110100,23
1995,55079120300,12
1995,55079120400,33
1995,55079120502,10
1995,55079185100,8
1995,55079185200,22
1995,55079185400,417
1995,55079185500,325
1995,55079185600,362
1995,55079185700,469
1995,55079185800,319
1995,55079185900,200
1995,55079186000,71
1995,55079186100,281
1995,55079186200,216
1995,55079186400,3
1995,55079186500,305
1995,55079186600,401
1995,55079186800,68
1995,55079186900,68
1995,55079187000,382
1995,55079187400,1
1995,55079980000,14
1996,55079000101,602
1996,55079000102,932
1996,55079000201,871
1996,55079000202,1164
1996,55079000301,650
1996,55079000302,409
1996,55079000303,457
1996,55079000304,1006
1996,55079000400,370
1996,55079000501,734
1996,55079000502,456
1996,55079000600,1453
1996,55079000700,967
1996,55079000800,1184
1996,55079000900,655
1996,55079001000,985
1996,55079001100,517
1996,55079001200,472
1996,55079001300,905
1996,55079001400,327
1996,55079001500,600
1996,55079001600,606
1996,55079001700,956
1996,55079001800,580
1996,55079001900,844
1996,55079002000,713
1996,55079002100,574
1996,55079002200,573
1996,55079002300,1132
1996,55079002400,536
1996,55079002500,555
1996,55079002600,836
1996,55079002700,624
1996,55079002800,576
1996,55079002900,664
1996,55079003000,1198
1996,55079003100,1051
1996,55079003200,846
1996,55079003300,1143
1996,55079003400,1425
1996,55079003500,1046
1996,55079003600,545
1996,55079003700,778
1996,55079003800,673
1996,55079003900,783
1996,55079004000,542
1996,55079004100,808
1996,55079004200,693
1996,55079004300,1469
